portfolio_id,first_name,last_name,email,investment_type,stock_symbol,purchase_date,purchase_price,quantity,sale_date,sale_price,profit,industry_sector,risk_level,market_cap,annual_return,exchange,Investment_strategy
26,Cynthie,Enders,cendersp@prnewswire.com,ETFs,PTLA,1/15/2012,873.86,8548,8/2/2017,292.0,error: Field 'sale_total' not found,Technology,Low,133444475,20.48,LSE,Safe
27,Moshe,Muckley,mmuckleyq@rambler.ru,Stocks,SPWH,7/26/2010,774.85,2514,8/13/2019,201.96,error: Field 'sale_total' not found,Technology,Medium,900989010,39.27,LSE,Risky
28,Vernice,Bushill,vbushillr@opensource.org,ETFs,SSW^E,9/22/2013,993.02,4185,8/9/2015,478.88,error: Field 'sale_total' not found,Healthcare,High,343462407,92.71,NASDAQ,Risky
29,Upton,Edney,uedneys@netlog.com,Stocks,XHR,2/18/2013,154.54,9443,2/18/2022,986.8,error: Field 'sale_total' not found,Finance,High,160206753,75.96,LSE,Risky
30,Edna,Biggerstaff,ebiggerstafft@harvard.edu,Stocks,CPG,8/20/2010,459.43,8171,6/19/2017,221.97,error: Field 'sale_total' not found,Healthcare,High,236444664,71.87,NYSE,Safe
31,Ario,Parsons,aparsonsu@hatena.ne.jp,ETFs,BNDX,7/26/2020,369.82,7874,3/13/2022,654.59,error: Field 'sale_total' not found,Finance,Medium,240344331,65.86,LSE,Risky
32,Dona,Jeans,djeansv@comcast.net,Bonds,PKBK,5/20/2018,862.5,5191,1/19/2012,270.09,error: Field 'sale_total' not found,Technology,Medium,109398541,71.59,NYSE,Safe
33,Jo-ann,Weatherup,jweatherupw@joomla.org,ETFs,OFG,10/19/2017,596.21,5458,11/20/2016,100.93,error: Field 'sale_total' not found,Healthcare,Low,144863307,26.34,NASDAQ,Medium
34,Mariya,Lapham,mlaphamx@hatena.ne.jp,Bonds,HIFS,8/16/2012,286.93,5763,11/21/2014,738.23,error: Field 'sale_total' not found,Technology,Low,261096822,32.85,LSE,Medium
35,Kelvin,Kiehnlt,kkiehnlty@epa.gov,Stocks,CHL,3/31/2011,364.62,3749,4/6/2013,706.8,error: Field 'sale_total' not found,Finance,Medium,842551966,31.54,NASDAQ,Medium
36,Jerrylee,Tremelling,jtremellingz@moonfruit.com,Stocks,CTLT,4/27/2017,432.01,6633,7/23/2011,391.68,error: Field 'sale_total' not found,Finance,Medium,774285813,69.52,LSE,Medium
37,Julie,Coult,jcoult10@nba.com,Bonds,GNMA,9/28/2017,444.3,6194,4/17/2020,977.15,error: Field 'sale_total' not found,Finance,High,642845819,69.23,LSE,Medium
38,Steffane,Tuson,stuson11@abc.net.au,Bonds,RGR,4/20/2020,686.51,9052,9/24/2014,164.16,error: Field 'sale_total' not found,Healthcare,High,182374753,75.02,LSE,Medium
39,Bentley,Coveny,bcoveny12@cnn.com,Stocks,ST,7/22/2020,319.94,2912,6/16/2021,704.66,error: Field 'sale_total' not found,Healthcare,Low,59115409,78.8,LSE,Risky
40,Audy,Colomb,acolomb13@salon.com,ETFs,ADMS,2/27/2010,637.61,7578,8/24/2012,687.55,error: Field 'sale_total' not found,Healthcare,High,921193549,74.75,NASDAQ,Medium
41,Aindrea,McGrouther,amcgrouther14@bbb.org,Bonds,PCQ,12/3/2016,966.0,9012,9/30/2011,415.43,error: Field 'sale_total' not found,Finance,Medium,757188493,84.38,LSE,Risky
42,Jimmy,Whitmore,jwhitmore15@geocities.com,Stocks,NWLI,8/9/2020,347.24,3329,12/6/2018,149.69,error: Field 'sale_total' not found,Healthcare,Low,642811195,52.83,LSE,Risky
43,Deane,Dalby,ddalby16@phoca.cz,Bonds,SFNC,6/2/2011,556.76,7592,12/8/2010,159.67,error: Field 'sale_total' not found,Technology,High,217682069,15.53,LSE,Risky
44,Ola,Gregs,ogregs17@oracle.com,Bonds,OFC,11/17/2010,49.82,4400,3/1/2016,64.29,error: Field 'sale_total' not found,Healthcare,Medium,67821748,49.27,NYSE,Medium
45,Franchot,Randalston,frandalston18@sbwire.com,Bonds,SYX,5/27/2018,170.91,1554,5/12/2015,61.87,error: Field 'sale_total' not found,Finance,Medium,826553443,16.24,NYSE,Risky
46,Sebastian,Manthroppe,smanthroppe19@google.de,Bonds,CTRE,3/28/2018,454.23,1164,7/25/2012,755.61,error: Field 'sale_total' not found,Technology,Medium,519296831,38.2,NASDAQ,Safe
47,Brantley,Aulton,baulton1a@cbsnews.com,Bonds,SLB,12/10/2012,332.19,385,3/30/2010,235.31,error: Field 'sale_total' not found,Healthcare,High,977173534,2.07,LSE,Risky
48,Nathalie,Giovanni,ngiovanni1b@weebly.com,Bonds,GSVC,4/20/2016,968.19,2727,2/12/2014,609.97,error: Field 'sale_total' not found,Finance,Low,341617970,97.89,LSE,Medium
49,Karlik,Swyer,kswyer1c@forbes.com,ETFs,CYTR,8/22/2012,487.34,6775,8/5/2018,279.63,error: Field 'sale_total' not found,Finance,High,594945423,3.8,NYSE,Risky
50,Pansy,Emmer,pemmer1d@cisco.com,ETFs,VSM,1/27/2020,71.22,4265,9/21/2014,308.63,error: Field 'sale_total' not found,Technology,High,800990308,55.22,NASDAQ,Safe
51,Frasier,Faunt,ffaunt1e@desdev.cn,Bonds,BWG,4/24/2011,457.29,2428,7/14/2021,935.56,error: Field 'sale_total' not found,Finance,Medium,339093200,1.76,LSE,Risky
52,Madel,Frays,mfrays1f@pcworld.com,Stocks,NTZ,5/26/2021,29.22,7864,11/12/2010,250.74,error: Field 'sale_total' not found,Healthcare,High,410697421,63.35,NASDAQ,Risky
53,Mei,Burle,mburle1g@youku.com,Stocks,TPVZ,10/2/2019,933.35,5565,11/27/2021,2.38,error: Field 'sale_total' not found,Healthcare,High,102604350,16.34,NYSE,Risky
54,Odella,Kopfen,okopfen1h@gmpg.org,ETFs,SSP,10/17/2021,573.53,5353,5/16/2017,191.59,error: Field 'sale_total' not found,Healthcare,High,98735065,82.26,LSE,Medium
55,Ashely,Carneck,acarneck1i@bloglovin.com,Stocks,MGPI,11/10/2015,122.65,5363,12/22/2020,361.72,error: Field 'sale_total' not found,Healthcare,High,481316670,35.6,NASDAQ,Medium
56,Gerhardine,Hearfield,ghearfield1j@biglobe.ne.jp,ETFs,CLH,7/27/2013,205.43,1503,12/6/2014,479.45,error: Field 'sale_total' not found,Finance,Medium,458325834,99.7,NASDAQ,Safe
57,Seline,Maudlen,smaudlen1k@technorati.com,ETFs,CUBA,4/19/2014,242.15,7900,10/1/2013,611.56,error: Field 'sale_total' not found,Technology,Medium,509946615,49.85,LSE,Safe
58,Tiffani,McGlue,tmcglue1l@multiply.com,Bonds,IMGN,3/28/2019,464.73,6079,10/7/2017,906.54,error: Field 'sale_total' not found,Finance,Medium,400390981,92.55,NASDAQ,Medium
59,Dore,Milazzo,dmilazzo1m@live.com,Bonds,SOXX,3/12/2015,169.22,9250,3/24/2015,834.46,error: Field 'sale_total' not found,Healthcare,Medium,366813437,66.21,LSE,Safe
60,Patti,Roseveare,proseveare1n@blinklist.com,Stocks,AEGN,4/26/2018,450.39,2639,2/15/2019,815.75,error: Field 'sale_total' not found,Healthcare,Low,257537442,51.11,LSE,Risky
61,Skyler,Eglin,seglin1o@topsy.com,Stocks,FEM,9/2/2020,643.6,9354,4/28/2013,200.44,error: Field 'sale_total' not found,Technology,Low,744710196,67.26,NASDAQ,Safe
62,Bliss,Dubique,bdubique1p@ameblo.jp,ETFs,PTLA,7/6/2020,808.69,1099,6/2/2012,758.47,error: Field 'sale_total' not found,Technology,High,217859678,75.91,NASDAQ,Medium
63,Clement,Kevane,ckevane1q@dedecms.com,Stocks,NRCIA,5/28/2016,390.23,8985,4/6/2012,891.72,error: Field 'sale_total' not found,Finance,Low,246132804,79.5,NASDAQ,Risky
64,Storm,Bugdell,sbugdell1r@who.int,ETFs,NDRAW,8/18/2011,592.58,3665,5/10/2013,560.63,error: Field 'sale_total' not found,Healthcare,Low,433376359,92.0,NYSE,Risky
65,Em,Clawe,eclawe1s@hhs.gov,ETFs,NVCR,3/31/2015,853.54,9891,7/17/2022,120.45,error: Field 'sale_total' not found,Finance,High,781322310,93.64,NYSE,Risky
66,Jarrod,Themann,jthemann1t@deviantart.com,Bonds,TR,5/1/2012,601.56,1814,2/26/2017,793.22,error: Field 'sale_total' not found,Technology,Low,188604508,24.49,NYSE,Safe
67,Robinia,O'Carney,rocarney1u@craigslist.org,ETFs,FNLC,7/28/2018,309.39,7528,11/18/2016,54.54,error: Field 'sale_total' not found,Healthcare,High,919696192,16.79,NYSE,Risky
68,Louis,Kybbye,lkybbye1v@cnn.com,Bonds,ABG,11/9/2019,501.39,3284,11/26/2014,908.11,error: Field 'sale_total' not found,Healthcare,Low,943037044,19.92,NYSE,Safe
69,Krissie,Stroyan,kstroyan1w@intel.com,ETFs,FMBI,7/30/2022,444.13,870,12/6/2012,513.42,error: Field 'sale_total' not found,Technology,Low,206719878,56.09,NASDAQ,Risky
70,Ezra,McMenemy,emcmenemy1x@alexa.com,Bonds,EFX,7/27/2019,907.25,2642,10/23/2012,518.39,error: Field 'sale_total' not found,Technology,Medium,941114258,32.0,NASDAQ,Medium
71,Douglas,Augar,daugar1y@msn.com,Bonds,BGFV,1/10/2014,495.95,4751,2/7/2020,940.16,error: Field 'sale_total' not found,Technology,Medium,673704719,1.41,NASDAQ,Safe
72,Josias,McGivena,jmcgivena1z@mashable.com,Stocks,GOODO,4/28/2013,103.05,9578,5/17/2017,299.41,error: Field 'sale_total' not found,Technology,High,92643564,6.13,NASDAQ,Medium
73,Camilla,Le Estut,cleestut20@istockphoto.com,Stocks,BMTC,12/20/2016,34.92,2496,2/8/2020,725.68,error: Field 'sale_total' not found,Healthcare,Low,738019387,43.97,NASDAQ,Medium
74,Joseph,Bergin,jbergin21@tiny.cc,ETFs,ANH^B,1/23/2012,601.09,5966,1/28/2016,604.72,error: Field 'sale_total' not found,Healthcare,Low,530905143,52.49,NASDAQ,Risky
75,Calhoun,Schneidar,cschneidar22@dedecms.com,ETFs,EIG,4/9/2010,838.19,5489,3/3/2018,231.34,error: Field 'sale_total' not found,Healthcare,Medium,58374553,33.95,NASDAQ,Risky
76,Thedrick,Sansam,tsansam23@princeton.edu,ETFs,ASCMA,4/3/2016,631.53,6243,10/21/2015,90.4,error: Field 'sale_total' not found,Healthcare,Low,943344559,30.85,NASDAQ,Safe
77,Britt,Stanwix,bstanwix24@slashdot.org,Stocks,GSBC,10/20/2015,54.1,9295,4/19/2016,660.19,error: Field 'sale_total' not found,Healthcare,Low,138173936,52.52,NYSE,Risky
78,Filippa,Lurner,flurner25@paginegialle.it,ETFs,AXON          ,7/2/2015,14.77,9761,4/12/2012,39.51,error: Field 'sale_total' not found,Healthcare,Low,700535472,62.82,NASDAQ,Safe
79,Dedie,Dinesen,ddinesen26@bloglines.com,Bonds,SZC,5/5/2020,928.26,6838,11/1/2014,753.18,error: Field 'sale_total' not found,Healthcare,High,30085341,50.2,NYSE,Medium
80,Lynn,Ballintyne,lballintyne27@ehow.com,Stocks,AMH^B,2/18/2018,835.85,5359,7/28/2021,587.31,error: Field 'sale_total' not found,Healthcare,Medium,884818767,93.65,NYSE,Safe
81,Tricia,Timson,ttimson28@nhs.uk,Bonds,NPV,12/30/2015,101.09,4882,1/18/2012,32.61,error: Field 'sale_total' not found,Technology,High,903528336,32.99,NASDAQ,Risky
82,Natalina,Repper,nrepper29@lulu.com,Stocks,FBNC,4/3/2012,295.26,6040,9/23/2019,578.82,error: Field 'sale_total' not found,Finance,Medium,461755212,29.41,LSE,Safe
83,Chlo,Pybus,cpybus2a@jimdo.com,Stocks,SAN^B,10/23/2020,504.33,8773,12/26/2010,742.78,error: Field 'sale_total' not found,Finance,Medium,475688254,87.62,LSE,Medium
84,Ailina,Edworthy,aedworthy2b@cbsnews.com,Bonds,FTXL,1/17/2019,397.63,3366,5/31/2016,659.85,error: Field 'sale_total' not found,Finance,Medium,244497567,36.89,NYSE,Safe
85,Man,Killough,mkillough2c@newyorker.com,Bonds,FTA,6/10/2014,214.38,1862,9/5/2020,456.42,error: Field 'sale_total' not found,Finance,Low,903350986,60.18,NASDAQ,Medium
86,Cindi,Darington,cdarington2d@163.com,Bonds,VIVE,5/21/2020,287.53,9400,1/13/2021,306.42,error: Field 'sale_total' not found,Technology,High,867478510,82.97,NYSE,Risky
87,Eddy,Roddan,eroddan2e@friendfeed.com,ETFs,JOF,9/12/2019,175.4,5193,5/14/2010,281.61,error: Field 'sale_total' not found,Healthcare,Low,573319495,14.66,LSE,Risky
88,Happy,Bullent,hbullent2f@miibeian.gov.cn,Bonds,PRGX,3/2/2019,181.03,5387,11/26/2018,717.39,error: Field 'sale_total' not found,Healthcare,Low,870028654,68.47,LSE,Medium
89,Zia,Beirne,zbeirne2g@a8.net,Bonds,KNOP,11/28/2012,34.18,4640,12/5/2019,705.85,error: Field 'sale_total' not found,Healthcare,High,202285467,11.6,LSE,Medium
90,Vale,Buckell,vbuckell2h@canalblog.com,Stocks,TMK,12/8/2018,327.62,3455,10/13/2019,974.36,error: Field 'sale_total' not found,Technology,Low,734378481,12.1,NASDAQ,Safe
91,Marla,Purvis,mpurvis2i@virginia.edu,Stocks,RNVAZ,8/28/2016,761.09,2220,9/30/2021,217.74,error: Field 'sale_total' not found,Finance,Low,728162270,21.04,NYSE,Medium
92,Judi,Leghorn,jleghorn2j@rakuten.co.jp,Bonds,ANAT,9/9/2021,905.8,294,1/1/2013,427.87,error: Field 'sale_total' not found,Healthcare,High,292154123,46.53,LSE,Risky
93,Ulrica,Codeman,ucodeman2k@tripadvisor.com,Stocks,CAPR,8/4/2018,548.88,2468,11/25/2019,143.93,error: Field 'sale_total' not found,Healthcare,Medium,332057958,25.7,NYSE,Risky
94,Nichol,Lambrick,nlambrick2l@ehow.com,Stocks,MDLY,2/22/2010,823.23,4225,11/21/2015,71.09,error: Field 'sale_total' not found,Healthcare,Low,281179311,36.95,NYSE,Safe
95,Sloane,McCarrell,smccarrell2m@ovh.net,Bonds,IGT,12/15/2018,52.86,1451,8/6/2013,708.88,error: Field 'sale_total' not found,Finance,Medium,384058175,65.61,NASDAQ,Medium
96,Kimbell,Dodwell,kdodwell2n@weibo.com,ETFs,HUNTW,6/30/2010,934.02,9288,8/9/2013,410.49,error: Field 'sale_total' not found,Technology,High,110435981,84.08,LSE,Safe
97,Welch,Argontt,wargontt2o@ucoz.ru,Bonds,TNDM,9/5/2014,283.83,1547,4/23/2011,733.34,error: Field 'sale_total' not found,Technology,Medium,639285448,29.82,NASDAQ,Safe
98,Nikos,Matson,nmatson2p@japanpost.jp,Stocks,HAIN,3/23/2010,152.71,9339,2/8/2020,715.46,error: Field 'sale_total' not found,Healthcare,High,134122093,11.67,LSE,Risky
99,Lauri,Westhoff,lwesthoff2q@joomla.org,ETFs,APF,8/4/2016,932.87,434,2/5/2021,899.75,error: Field 'sale_total' not found,Healthcare,Low,791386034,98.91,LSE,Safe
100,Care,Aicken,caicken2r@nba.com,ETFs,DHG,4/6/2017,516.22,8919,5/22/2018,388.94,error: Field 'sale_total' not found,Technology,High,591632299,32.29,NASDAQ,Risky
101,Ranna,Diviney,rdiviney2s@yandex.ru,Stocks,ONCS,11/9/2018,389.52,5664,5/8/2021,927.12,error: Field 'sale_total' not found,Technology,High,986248480,80.71,LSE,Risky
102,Didi,Sammonds,dsammonds2t@mashable.com,Bonds,GNW,8/3/2012,447.69,222,3/24/2017,411.37,error: Field 'sale_total' not found,Healthcare,High,794450938,27.44,NASDAQ,Safe
103,Westbrook,McGebenay,wmcgebenay2u@nsw.gov.au,Stocks,SLGN,10/25/2010,320.82,974,11/12/2012,750.5,error: Field 'sale_total' not found,Finance,Low,393374740,25.61,LSE,Risky
104,Arch,Drakes,adrakes2v@loc.gov,Bonds,HYZD,8/24/2011,899.24,8324,9/29/2019,654.45,error: Field 'sale_total' not found,Technology,Low,721428165,85.99,LSE,Medium
105,Kaitlyn,Roy,kroy2w@hubpages.com,ETFs,SGOC,7/17/2015,69.72,401,4/7/2012,389.16,error: Field 'sale_total' not found,Healthcare,Low,861165863,84.48,NYSE,Safe
106,Ferdinand,McCumesky,fmccumesky2x@artisteer.com,Stocks,LFVN,5/19/2012,731.82,9081,9/12/2021,658.59,error: Field 'sale_total' not found,Healthcare,Medium,632208452,64.05,LSE,Safe
107,Ranique,Alesio,ralesio2y@yahoo.co.jp,Bonds,BBOX,4/14/2021,658.48,8693,9/23/2021,757.26,error: Field 'sale_total' not found,Finance,High,219742661,11.0,NYSE,Risky
108,Tasha,Lidell,tlidell2z@wikipedia.org,Stocks,EMIF,2/28/2021,49.28,5531,7/6/2021,991.51,error: Field 'sale_total' not found,Technology,High,877829187,58.38,LSE,Risky
109,Carole,Shawyers,cshawyers30@google.com.br,Bonds,CELP,4/25/2019,618.99,6084,2/19/2012,607.29,error: Field 'sale_total' not found,Healthcare,High,952857426,2.73,NYSE,Risky
110,Fowler,Bach,fbach31@youtube.com,ETFs,BKH,9/21/2018,611.1,694,1/5/2022,777.72,error: Field 'sale_total' not found,Healthcare,High,421675261,97.42,NASDAQ,Safe
111,Randell,Bringloe,rbringloe32@prlog.org,Stocks,ANDE,6/8/2022,893.17,2090,11/16/2018,20.7,error: Field 'sale_total' not found,Finance,Medium,294153881,92.09,NASDAQ,Safe
112,Gael,Duffill,gduffill33@who.int,ETFs,SYNC,1/22/2017,282.64,2929,12/31/2013,273.74,error: Field 'sale_total' not found,Healthcare,Medium,269661128,59.78,NYSE,Medium
113,Gwendolin,Gilbanks,ggilbanks34@yale.edu,Stocks,SNSS,6/25/2020,239.47,7947,1/2/2010,377.22,error: Field 'sale_total' not found,Healthcare,High,936751915,5.65,NASDAQ,Risky
114,Saul,Groocock,sgroocock35@java.com,Stocks,CHSCM,1/24/2019,417.13,754,4/25/2012,456.65,error: Field 'sale_total' not found,Technology,High,520935391,35.93,LSE,Risky
115,Raoul,Dyde,rdyde36@ucsd.edu,ETFs,NSP,2/13/2020,426.8,7561,5/9/2016,224.38,error: Field 'sale_total' not found,Healthcare,Medium,784866929,34.24,NYSE,Risky
116,Simonette,Algy,salgy37@hugedomains.com,ETFs,FPO,10/24/2012,417.73,6749,4/6/2015,261.66,error: Field 'sale_total' not found,Finance,Medium,315748292,11.91,LSE,Safe
117,Adelind,Le Provest,aleprovest38@nhs.uk,ETFs,MILN,12/19/2016,206.59,6929,12/17/2015,904.48,error: Field 'sale_total' not found,Finance,High,629321672,54.27,NYSE,Safe
118,Cly,I'anson,cianson39@shutterfly.com,Stocks,CTV,6/29/2014,265.29,351,12/26/2016,145.13,error: Field 'sale_total' not found,Finance,High,707840637,74.73,LSE,Medium
119,Venita,Fowden,vfowden3a@simplemachines.org,Stocks,ZIONZ,1/25/2017,698.12,1452,4/30/2014,96.28,error: Field 'sale_total' not found,Finance,Low,435247063,86.64,NASDAQ,Risky
120,Thadeus,Greatorex,tgreatorex3b@businesswire.com,ETFs,PTEN,4/3/2017,622.17,4611,9/19/2022,649.31,error: Field 'sale_total' not found,Technology,Low,49886630,62.79,LSE,Safe
121,Brianna,Undrill,bundrill3c@list-manage.com,ETFs,LRGE,3/1/2019,95.55,6725,10/26/2016,101.85,error: Field 'sale_total' not found,Technology,Medium,103327288,58.08,LSE,Risky
122,Agace,Hasling,ahasling3d@webeden.co.uk,Stocks,BPY,4/29/2017,360.09,8775,11/15/2010,856.67,error: Field 'sale_total' not found,Technology,High,752895905,19.79,NASDAQ,Medium
123,Bealle,Taverner,btaverner3e@zimbio.com,ETFs,ABR^A,7/13/2015,136.21,3990,7/31/2022,777.4,error: Field 'sale_total' not found,Healthcare,Low,22783798,24.24,NASDAQ,Risky
124,Tresa,Martino,tmartino3f@ftc.gov,Bonds,AEH,3/5/2014,299.42,9483,11/4/2020,97.7,error: Field 'sale_total' not found,Technology,High,438402199,90.7,LSE,Risky
125,Rose,Cotte,rcotte3g@princeton.edu,Stocks,BVSN,10/16/2013,55.12,2218,3/10/2016,108.23,error: Field 'sale_total' not found,Finance,Low,943740145,67.53,NYSE,Medium
126,Ellerey,Stonelake,estonelake3h@npr.org,ETFs,RDNT,11/22/2014,795.19,6340,1/15/2020,639.6,error: Field 'sale_total' not found,Technology,Low,420766745,33.06,NYSE,Medium
127,Etan,Liptrod,eliptrod3i@drupal.org,Stocks,SCON,10/25/2018,867.02,5855,5/18/2018,715.59,error: Field 'sale_total' not found,Healthcare,Low,299465807,29.47,NYSE,Risky
128,Raleigh,Oldroyde,roldroyde3j@dion.ne.jp,ETFs,PXLW,4/24/2018,483.62,516,12/5/2020,277.39,error: Field 'sale_total' not found,Healthcare,Low,380072017,67.48,NASDAQ,Safe
129,Laina,Lascell,llascell3k@uol.com.br,ETFs,ISSC,2/1/2020,679.13,9093,11/23/2011,340.29,error: Field 'sale_total' not found,Technology,Medium,638533655,82.46,NASDAQ,Risky
130,Francyne,Marling,fmarling3l@vinaora.com,ETFs,PMT,5/8/2013,69.0,9298,3/12/2016,237.11,error: Field 'sale_total' not found,Finance,High,95548887,81.4,NASDAQ,Medium
131,Carina,Maud,cmaud3m@dedecms.com,Bonds,CFA,10/24/2022,340.2,7841,12/24/2019,687.4,error: Field 'sale_total' not found,Technology,High,780869120,22.17,LSE,Medium
132,Frankie,Sang,fsang3n@bizjournals.com,Stocks,IGD,8/15/2022,620.83,5815,1/22/2018,222.16,error: Field 'sale_total' not found,Healthcare,Medium,294667716,75.87,LSE,Medium
133,Dagmar,Dorrins,ddorrins3o@techcrunch.com,Stocks,FYX,12/16/2022,680.21,6180,10/13/2015,243.72,error: Field 'sale_total' not found,Technology,High,112955071,48.02,LSE,Risky
134,Hendrick,Yelden,hyelden3p@java.com,ETFs,NQ,3/3/2021,832.13,2086,7/17/2018,865.67,error: Field 'sale_total' not found,Technology,High,592002332,92.23,LSE,Risky
135,Viola,Huot,vhuot3q@ucla.edu,ETFs,INN,3/17/2016,49.77,7402,6/21/2018,553.66,error: Field 'sale_total' not found,Technology,Low,26421137,44.88,LSE,Medium
136,Gamaliel,Chappelow,gchappelow3r@storify.com,Bonds,ISSC,8/10/2016,4.19,9341,9/16/2022,658.58,error: Field 'sale_total' not found,Finance,High,127933883,66.5,NYSE,Safe
137,Nissie,Enston,nenston3s@biglobe.ne.jp,Bonds,HCLP,3/2/2014,704.25,9429,11/2/2011,560.92,error: Field 'sale_total' not found,Finance,Medium,441656020,7.74,NYSE,Medium
138,Nickolas,Lantiff,nlantiff3t@delicious.com,Stocks,LANC,10/6/2018,816.28,689,11/5/2011,349.69,error: Field 'sale_total' not found,Finance,Low,804988681,0.48,LSE,Medium
